nome;turno;votos_recebidos;total_votos
Lula;1;57259504;123682372
Bolsonaro;1;51072345;123682372
Tebet;1;4915423;123682372
Ciro;1;3599287;123682372
Lula;2;60345999;124252796
Bolsonaro;2;58206354;124252796
